Grupo;Família;Espécie (FB_2020);Nome popular;Origem;Endemismo;Especie;Categoria;Critério;Data avaliação;Reavaliação?;Histórico de Avaliações;Endêmica do Brasil?;Ameaças cadastradas;Ações de conservação
Angiospermas;Asteraceae;Lychnophora brunioides Mart.;;NATIVA;Endemica;Lychnophora brunioides;CR;;2013;Não;Continuou em P443 na mesma categoria de ameaça (sem reavaliação);Sim;1.4.2 Human settlement|1.4.3 Tourism/recreation|1.3.1 Mining|1.1.4 Livestock|1.7 Fire;1.2.1.2 National level|1.2.2.3 Sub-national level|4.4 Protected areas
Angiospermas;Asteraceae;Lychnophora candelabrum Sch. Bip.;;NATIVA;Endemica;Lychnophoriopsis candelabrum;VU;B2ab(i,ii,iii,iv);2019;Sim;"Reavaliada: Mudou para categoria MENOS restritiva; Continuou em P443 em categoria ameaçada";NA;NA;NA
Angiospermas;Asteraceae;Lychnophora crispa Mattf.;;NATIVA;Endemica;Lychnophora crispa;EN;B2ab(i,ii,iii);2019;Sim;Continuou em P443 na mesma categoria de ameaça (após reavaliação);Sim;5.3 Logging & wood harvesting|2.3 Livestock farming & ranching|2.3 Livestock farming & ranching|2 Agriculture & aquaculture|3.2 Mining & quarrying;5.1.2 National level|1.1 Site/area protection|5.1.2 National level
Angiospermas;Asteraceae;Lychnophora damazioi Beauverd;;NATIVA;Endemica;Lychnophoriopsis damazioi;EN;B1ab(i,ii,iii)+2ab(i,ii,iii);2019;Sim;Continuou em P443 na mesma categoria de ameaça (após reavaliação);Sim;3.2 Mining & quarrying|2.3 Livestock farming & ranching|8.1 Invasive non-native/alien species/diseases|1.3 Tourism & recreation areas|7.1 Fire & fire suppression;1 Land/water protection|5 Law & policy|5 Law & policy|5 Law & policy
Angiospermas;Asteraceae;Lychnophora diamantinana Coile & Jones;;NATIVA;Endemica;Lychnophora diamantinana;EN;B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv);2019;Sim;Continuou em P443 na mesma categoria de ameaça (após reavaliação);Sim;3.2 Mining & quarrying|1 Residential & commercial development|1.3 Tourism & recreation areas|2.3 Livestock farming & ranching|7.1.1 Increase in fire frequency/intensity|5.2 Gathering terrestrial plants|5.3 Logging & wood harvesting|2 Agriculture & aquaculture|8.1.2 Named species|2.2 Wood & pulp plantations;5.1.2 National level|5.1.3 Sub-national level|5.1.2 National level|1.1 Site/area protection
Angiospermas;Asteraceae;Lychnophora ericoides Mart.;;NATIVA;Endemica;Lychnophora ericoides;NT;;2019;Sim - Não Ameaçadas LV 2013;Inéditas não ameaçadas (NT, DD, LC);Sim;1 Residential & commercial development|2.3 Livestock farming & ranching|5.3 Logging & wood harvesting|3.2 Mining & quarrying|5.3 Logging & wood harvesting;5 Law & policy|1 Land/water protection|5 Law & policy|5 Law & policy
Angiospermas;Asteraceae;Lychnophora gardneri Sch.Bip.;;NATIVA;Endemica;Lychnophora gardneri;VU;B1ab(i,ii,iii,iv)+2ab(i,ii,iii,iv);2019;Sim;"Reavaliada: Mudou para categoria MENOS restritiva; Continuou em P443 em categoria ameaçada";Sim;5.3 Logging & wood harvesting|7 Natural system modifications|3.2 Mining & quarrying|1.3 Tourism & recreation areas|2 Agriculture & aquaculture|5.2.2 Unintentional effects (species being assessed is not the target)|7.1.1 Increase in fire frequency/intensity|2.3 Livestock farming & ranching;5.1.2 National level|5.1.3 Sub-national level|1.1 Site/area protection|5.1.2 National level|5 Law & policy
Angiospermas;Asteraceae;Lychnophora granmogolensis (Duarte) Semir;;NATIVA;Endemica;Lychnophora granmogolensis;NT;;2019;Sim;"Reavaliada: Mudou para categoria MENOS restritiva; Saiu de P443 para categoria não ameaçada";Sim;5.3 Logging & wood harvesting|2.3 Livestock farming & ranching|3.2 Mining & quarrying|2.2 Wood & pulp plantations;5.1.2 National level|5.1.2 National level|
Angiospermas;Asteraceae;Lychnophora hatschbachii (H.Rob.) Loeuille, Semir & Pirani;;NATIVA;Endemica;Lychnophoriopsis hatschbachii;EN;B1ab(i,ii,iii)+2ab(i,ii,iii);2019;Sim;Continuou em P443 na mesma categoria de ameaça (após reavaliação);Sim;6 Human intrusions & disturbance|3.2 Mining & quarrying|2.3 Livestock farming & ranching;5 Law & policy|5 Law & policy
Angiospermas;Asteraceae;Lychnophora martiana Gardner;;NATIVA;Endemica;Lychnophora martiana;EN;B2ab(i,ii,iii);2019;Sim;Continuou em P443 na mesma categoria de ameaça (após reavaliação);Sim;5.3 Logging & wood harvesting|3.2 Mining & quarrying|2.3 Livestock farming & ranching|3.2 Mining & quarrying|5.2.2 Unintentional effects (species being assessed is not the target)|1.3 Tourism & recreation areas;1.1 Site/area protection|5.1.2 National level|5.1.2 National level|5.1.3 Sub-national level
