"";"Família";"Especie";"Nome na publicação original";"Diferença (em caracteres)";"Categoria";"Status Taxonômico"
"100";"Fabaceae";"Andira carvalhoi";"Andira carvalhoi";0;"rara";"Accepted"
"101";"Fabaceae";"Andira marauensis";"Andira marauensis";0;"rara";"Accepted"
"102";"Rutaceae";"Andreadoxa flava";"Andreadoxa flava";0;"rara";"Accepted"
"103";"Fabaceae";"Androcalymma glabrifolium";"Androcalymma glabrifolium";0;"rara";"Accepted"
"104";"Poaceae";"Schizachyrium tenerum";"Andropogon campestris";0;"rara";"Synonym"
"105";"Poaceae";"Andropogon campestris";"Andropogon campestris";0;"rara";"Accepted"
"106";"Bignoniaceae";"Anemopaegma mirabile";"Anemopaegma mirabile";0;"rara";"Accepted"
"107";"Plantaginaceae";"Angelonia crassifolia";"Angelonia crassifolia";0;"rara";"Accepted"
"108";"Plantaginaceae";"Angelonia pratensis";"Angelonia pratensis";0;"rara";"Accepted"
"109";"Lauraceae";"Aniba ferrea";"Aniba ferrea";0;"rara";"Accepted"
"110";"Lauraceae";"Aniba lancifolia";"Aniba lancifolia";0;"rara";"Accepted"
"111";"Lauraceae";"Aniba pedicellata";"Aniba pedicellata";0;"rara";"Accepted"
"112";"Annonaceae";"Annona saffordiana";"Annona saffordiana";0;"rara";"Accepted"
"113";"Poaceae";"Anomochloa marantoidea";"Anomochloa marantoidea";0;"rara";"Accepted"
"114";"Asteraceae";"Anteremanthus hatschbachii";"Antheremanthus hatschbachii";1;"rara";"Accepted"
"115";"Rubiaceae";"Staelia catechosperma";"Anthospermopsis catechosperma";0;"rara";"Synonym"
"116";"Araceae";"Anthurium ameliae";"Anthurium ameliae";0;"rara";"Accepted"
"117";"Araceae";"Anthurium bocainense";"Anthurium bocainense";0;"rara";"Accepted"
"118";"Araceae";"Anthurium bragae";"Anthurium bragae";0;"rara";"Accepted"
"119";"Araceae";"Anthurium fragae";"Anthurium fragae";0;"rara";"Accepted"
"120";"Araceae";"Anthurium gomesianum";"Anthurium gomesianum";0;"rara";"Accepted"
"121";"Araceae";"Anthurium jureianum";"Anthurium jureianum";0;"rara";"Accepted"
"122";"Araceae";"Anthurium langsdorffii";"Anthurium langsdorffii";0;"rara";"Accepted"
"123";"Araceae";"Anthurium lucidum";"Anthurium lucidum";0;"rara";"Accepted"
"124";"Araceae";"Anthurium megapetiolatum";"Anthurium megapetiolatum";0;"rara";"Accepted"
"125";"Araceae";"Anthurium microphyllum";"Anthurium microphyllum";0;"rara";"Accepted"
"126";"Araceae";"Anthurium mourae";"Anthurium mourae";0;"rara";"Accepted"
"127";"Araceae";"Anthurium pilonense";"Anthurium pilonense";0;"rara";"Accepted"
"128";"Araceae";"Anthurium radicans";"Anthurium radicans";0;"rara";"Accepted"
"129";"Araceae";"Anthurium simonii";"Anthurium simonii";0;"rara";"Accepted"
"130";"Araceae";"Anthurium unense";"Anthurium unense";0;"rara";"Accepted"
"131";"Araceae";"Anthurium victorii";"Anthurium victorii";0;"rara";"Accepted"
"132";"Araceae";"Anthurium xanthophylloides";"Anthurium xanthophylloides";0;"rara";"Accepted"
"133";"Santalaceae";"Antidaphne amazonensis";"Antidaphne amazonensis";0;"rara";"Accepted"
"134";"Santalaceae";"Antidaphne schottii";"Antidaphne schottii";0;"rara";"Accepted"
"135";"Acanthaceae";"Aphelandra acrensis";"Aphelandra acrensis";0;"rara";"Accepted"
"136";"Acanthaceae";"Aphelandra bahiensis";"Aphelandra bahiensis";0;"rara";"Accepted"
"137";"Acanthaceae";"Aphelandra blanchetiana";"Aphelandra blanchetiana";0;"rara";"Accepted"
"138";"Acanthaceae";"Aphelandra bradeana";"Aphelandra bradeana";0;"rara";"Accepted"
"139";"Acanthaceae";"Aphelandra espirito-santensis";"Aphelandra espirito-santensis";0;"rara";"Accepted"
"140";"Acanthaceae";"Aphelandra grazielae";"Aphelandra grazielae";0;"rara";"Accepted"
"141";"Acanthaceae";"Aphelandra hymenobracteata";"Aphelandra hymenobracteata";0;"rara";"Accepted"
"142";"Acanthaceae";"Aphelandra margaritae";"Aphelandra margaritae";0;"rara";"Accepted"
"143";"Acanthaceae";"Aphelandra maximiliana";"Aphelandra maximiliana";0;"rara";"Accepted"
"144";"Acanthaceae";"Aphelandra nuda";"Aphelandra nuda";0;"rara";"Accepted"
"145";"Acanthaceae";"Aphelandra paulensis";"Aphelandra paulensis";0;"rara";"Accepted"
"146";"Acanthaceae";"Aphelandra phrynioides";"Aphelandra phrynioides";0;"rara";"Accepted"
"147";"Acanthaceae";"Aphelandra rigida";"Aphelandra rigida";0;"rara";"Accepted"
"148";"Acanthaceae";"Aphelandra stephanophysa";"Aphelandra stephanophysa";0;"rara";"Accepted"
"149";"Cucurbitaceae";"Apodanthera hindii";"Apodanthera hindii";0;"rara";"Accepted"
"150";"Cucurbitaceae";"Apodanthera sagittifolia var. villosa";"Apodanthera linearis";0;"rara";"Synonym"
"151";"Cucurbitaceae";"Apodanthera villosa";"Apodanthera succulenta";0;"rara";"Synonym"
"152";"Apodanthaceae";"Apodanthes caseariae";"Apodanthes minarum";0;"rara";"Synonym"
"153";"Fabaceae";"Apuleia leiocarpa";"Apuleia grazielanae";1;"rara";"Synonym"
"154";"Fabaceae";"Arapatiella emarginata";"Arapatiella emarginata";0;"rara";"Accepted"
"155";"Poaceae";"Arberella bahiensis";"Arberella bahiensis";0;"rara";"Accepted"
"156";"Gentianaceae";"Aripuana cullmaniorum";"Aripuana cullmaniorum";0;"rara";"Accepted"
"157";"Poaceae";"Aristida amazonensis";"Aristida amazonensis";0;"rara";"Accepted"
"158";"Cactaceae";"Arrojadoa bahiensis";"Arrojadoa bahiensis";0;"rara";"Accepted"
"159";"Cactaceae";"Arrojadoa eriocaulis";"Arrojadoa eriocaulis";0;"rara";"Accepted"
"160";"Cactaceae";"Arrojadoa marylaniae";"Arrojadoa marylanae";1;"rara";"Accepted"
"161";"Cactaceae";"Arrojadoa multiflora";"Arrojadoa multiflora";0;"rara";"Accepted"
"162";"Cactaceae";"Arthrocereus glaziovii";"Arthrocereus glaziovii";0;"rara";"Accepted"
"163";"Cactaceae";"Arthrocereus rondonianus";"Arthrocereus rondonianus";0;"rara";"Accepted"
"164";"Apocynaceae";"Aspidosperma compactinervium";"Aspidosperma compactinervium";0;"rara";"Accepted"
"165";"Apocynaceae";"Aspidosperma thomasii";"Aspidosperma thomasii";0;"rara";"Accepted"
"166";"Asteraceae";"Aspilia discolor";"Aspilia discolor";0;"rara";"Accepted"
"167";"Asteraceae";"Aspilia goiazensis";"Aspilia goiazensis";0;"rara";"Accepted"
"168";"Asteraceae";"Aspilia grazielae";"Aspilia grazielae";0;"rara";"Accepted"
"169";"Asteraceae";"Aspilia hatschbachii";"Aspilia hatschbachii";0;"rara";"Accepted"
"170";"Asteraceae";"Aspilia podophylla";"Aspilia podophylla";0;"rara";"Accepted"
"171";"Asteraceae";"Aspilia pohlii";"Aspilia pohlii";0;"rara";"Accepted"
"172";"Asteraceae";"Aspilia pseudoyedaea";"Aspilia pseudoyedaea";0;"rara";"Accepted"
"173";"Solanaceae";"Athenaea anonacea";"Athenaea anonacea";0;"rara";"Accepted"
"174";"Arecaceae";"Attalea pindobassu";"Attalea pindobassu";0;"rara";"Accepted"
"175";"Poaceae";"Aulonemia radiata";"Aulonemia glaziovii";0;"rara";"Synonym"
"176";"Solanaceae";"Athenaea angustifolia";"Aureliana angustifolia";0;"rara";"Synonym"
"177";"Solanaceae";"Athenaea fasciculata";"Aureliana darcyi";0;"rara";"Synonym"
"178";"Poaceae";"Axonopus carajasensis";"Axonopus carajasensis";0;"rara";"Accepted"
"179";"Poaceae";"Axonopus grandifolius";"Axonopus grandifolius";0;"rara";"Accepted"
"180";"Poaceae";"Axonopus aureus";"Axonopus tenuis";0;"rara";"Synonym"
"181";"Asteraceae";"Baccharis aracatubensis";"Baccharis arassatubensis";1;"rara";"Synonym"
"182";"Asteraceae";"Baccharis ciliata";"Baccharis ciliata";0;"rara";"Accepted"
"183";"Asteraceae";"Baccharis concinna";"Baccharis concinna";0;"rara";"Accepted"
"184";"Asteraceae";"Baccharis dubia";"Baccharis dubia";0;"rara";"Accepted"
"185";"Asteraceae";"Baccharis elliptica";"Baccharis elliptica";0;"rara";"Accepted"
"186";"Asteraceae";"Baccharis macrophylla";"Baccharis macrophylla";0;"rara";"Accepted"
"187";"Asteraceae";"Baccharis maxima";"Baccharis maxima";0;"rara";"Accepted"
"188";"Asteraceae";"Baccharis pseudovaccinioides";"Baccharis pseudovaccinioides";0;"rara";"Accepted"
"189";"Arecaceae";"Bactris soeiroana";"Bactris soeiroana";0;"rara";"Accepted"
"190";"Arecaceae";"Bactris tefensis";"Bactris tefensis";0;"rara";"Accepted"
"191";"Salicaceae";"Banara trinitatis";"Banara trinitatis";0;"rara";"Accepted"
"192";"Malpighiaceae";"Banisteriopsis arborea";"Banisteriopsis arborea";0;"rara";"Accepted"
"193";"Malpighiaceae";"Banisteriopsis byssacea";"Banisteriopsis byssacea";0;"rara";"Accepted"
"194";"Malpighiaceae";"Banisteriopsis goiana";"Banisteriopsis goiana";0;"rara";"Accepted"
"195";"Malpighiaceae";"Banisteriopsis hatschbachii";"Banisteriopsis hatschbachii";0;"rara";"Accepted"
"196";"Malpighiaceae";"Banisteriopsis hirsuta";"Banisteriopsis hirsuta";0;"rara";"Accepted"
"197";"Malpighiaceae";"Banisteriopsis magdalenensis";"Banisteriopsis magdalenensis";0;"rara";"Accepted"
"198";"Malpighiaceae";"Banisteriopsis salicifolia";"Banisteriopsis salicifolia";0;"rara";"Accepted"
"199";"Malpighiaceae";"Banisteriopsis scutellata";"Banisteriopsis scutellata";0;"rara";"Accepted"
"200";"Malpighiaceae";"Banisteriopsis sellowiana";"Banisteriopsis sellowiana";0;"rara";"Accepted"
"201";"Orchidaceae";"Gomesa polyodonta";"Baptistonia damacenoi";0;"rara";"Synonym"
"202";"Orchidaceae";"Gomesa kautskyi";"Baptistonia kautskyi";0;"rara";"Synonym"
"203";"Orchidaceae";"Gomesa leinigii";"Baptistonia leinigii";0;"rara";"Synonym"
"204";"Orchidaceae";"Gomesa pabstii";"Baptistonia pabstii";0;"rara";"Synonym"
"205";"Orchidaceae";"Gomesa pulchella";"Baptistonia pulchella";0;"rara";"Synonym"
"206";"Orchidaceae";"Gomesa uhlii";"Baptistonia uhlii";0;"rara";"Synonym"
"207";"Orchidaceae";"Gomesa velteniana";"Baptistonia velteniana";0;"rara";"Synonym"
"208";"Velloziaceae";"Barbacenia andersonii";"Barbacenia andersonii";0;"rara";"Accepted"
"209";"Velloziaceae";"Barbacenia blackii";"Barbacenia blackii";0;"rara";"Accepted"
"210";"Velloziaceae";"Barbacenia brevifolia";"Barbacenia brevifolia";0;"rara";"Accepted"
"211";"Velloziaceae";"Barbacenia contasana";"Barbacenia contasana";0;"rara";"Accepted"
"212";"Velloziaceae";"Barbacenia cylindrica";"Barbacenia cylindrica";0;"rara";"Accepted"
"213";"Velloziaceae";"Barbacenia delicatula";"Barbacenia delicatula";0;"rara";"Accepted"
"214";"Velloziaceae";"Barbacenia exscapa";"Barbacenia exscapa";0;"rara";"Accepted"
"215";"Velloziaceae";"Barbacenia fannieae";"Barbacenia fanniae";1;"rara";"Accepted"
"216";"Velloziaceae";"Barbacenia fulva";"Barbacenia fulva";0;"rara";"Accepted"
"217";"Velloziaceae";"Barbacenia gaveensis";"Barbacenia gaveensis";0;"rara";"Accepted"
"218";"Velloziaceae";"Barbacenia glabra";"Barbacenia glabra";0;"rara";"Accepted"
"219";"Velloziaceae";"Barbacenia hatschbachii";"Barbacenia hatschbachii";0;"rara";"Accepted"
"220";"Velloziaceae";"Barbacenia irwiniana";"Barbacenia irwiniana";0;"rara";"Accepted"
"221";"Velloziaceae";"Barbacenia lymansmithii";"Barbacenia lymansmithii";0;"rara";"Accepted"
"222";"Velloziaceae";"Barbacenia minima";"Barbacenia minima";0;"rara";"Accepted"
"223";"Velloziaceae";"Barbacenia paranaensis";"Barbacenia paranaensis";0;"rara";"Accepted"
"224";"Velloziaceae";"Barbacenia pungens";"Barbacenia pungens";0;"rara";"Accepted"
"225";"Velloziaceae";"Barbacenia purpurea";"Barbacenia purpurea";0;"rara";"Accepted"
"226";"Velloziaceae";"Barbacenia reflexa";"Barbacenia reflexa";0;"rara";"Accepted"
"227";"Velloziaceae";"Barbacenia regis";"Barbacenia regis";0;"rara";"Accepted"
"228";"Velloziaceae";"Barbacenia riparia";"Barbacenia riparia";0;"rara";"Accepted"
"229";"Velloziaceae";"Barbacenia rodriguesii";"Barbacenia rodriguesii";0;"rara";"Accepted"
"230";"Velloziaceae";"Barbacenia spectabilis";"Barbacenia spectabilis";0;"rara";"Accepted"
"231";"Velloziaceae";"Barbacenia spiralis";"Barbacenia spiralis";0;"rara";"Accepted"
"232";"Velloziaceae";"Barbacenia umbrosa";"Barbacenia umbrosa";0;"rara";"Accepted"
"233";"Velloziaceae";"Barbacenia williamsii";"Barbacenia williamsii";0;"rara";"Accepted"
"234";"Orchidaceae";"Barbosella macaheensis";"Barbosella macaheensis";0;"rara";"Accepted"
"235";"Orchidaceae";"Barbosella spiritu-sanctensis";"Barbosella spiritu-sanctensis";0;"rara";"Accepted"
"236";"Apocynaceae";"Barjonia grazielae";"Barjonia grazielae";0;"rara";"Accepted"
"237";"Apocynaceae";"Minaria harleyi";"Barjonia harleyi";0;"rara";"Synonym"
"238";"Rubiaceae";"Bathysa sylvestrae";"Bathysa sylvestrae";0;"rara";"Accepted"
"239";"Fabaceae";"Bauhinia candelabriformis";"Bauhinia candelabriformis";0;"rara";"Accepted"
"240";"Fabaceae";"Bauhinia leptantha";"Bauhinia leptantha";0;"rara";"Accepted"
"241";"Fabaceae";"Bauhinia malacotrichoides";"Bauhinia malacotrichoides";0;"rara";"Accepted"
"242";"Begoniaceae";"Begonia aconitifolia";"Begonia aconitifolia";0;"rara";"Accepted"
"243";"Begoniaceae";"Begonia admirabilis";"Begonia admirabilis";0;"rara";"Accepted"
"244";"Begoniaceae";"Begonia albidula";"Begonia albidula";0;"rara";"Accepted"
"245";"Begoniaceae";"Begonia boraceiensis";"Begonia boraceiensis";0;"rara";"Accepted"
"246";"Begoniaceae";"Begonia bradei";"Begonia bradei";0;"rara";"Accepted"
"247";"Begoniaceae";"Begonia brevilobata";"Begonia brevilobata";0;"rara";"Accepted"
"248";"Begoniaceae";"Begonia coccinea";"Begonia coccinea";0;"rara";"Accepted"
"249";"Begoniaceae";"Begonia edmundoi";"Begonia edmundoi";0;"rara";"Accepted"
"250";"Begoniaceae";"Begonia espiritosantensis";"Begonia espiritosantensis";0;"rara";"Accepted"
"251";"Begoniaceae";"Begonia hilariana";"Begonia hilariana";0;"rara";"Accepted"
"252";"Begoniaceae";"Begonia ibitiocensis";"Begonia ibitiocensis";0;"rara";"Accepted"
"253";"Begoniaceae";"Begonia jureiensis";"Begonia jureiensis";0;"rara";"Accepted"
"254";"Begoniaceae";"Begonia konderreisiana";"Begonia konderreisiana";0;"rara";"Accepted"
"255";"Begoniaceae";"Begonia kuhlmannii";"Begonia kuhlmannii";0;"rara";"Accepted"
"256";"Begoniaceae";"Begonia lanstyakii";"Begonia lanstyakii";0;"rara";"Accepted"
"257";"Begoniaceae";"Begonia larorum";"Begonia larorum";0;"rara";"Accepted"
"258";"Begoniaceae";"Begonia lubbersii";"Begonia lubbersii";0;"rara";"Accepted"
"259";"Begoniaceae";"Begonia lunaris";"Begonia lunaris";0;"rara";"Accepted"
"260";"Begoniaceae";"Begonia nuda";"Begonia nuda";0;"rara";"Accepted"
"261";"Begoniaceae";"Begonia paulensis";"Begonia paulensis";0;"rara";"Accepted"
"262";"Begoniaceae";"Begonia piresiana";"Begonia piresiana";0;"rara";"Accepted"
"263";"Begoniaceae";"Begonia rubropilosa";"Begonia rubropilosa";0;"rara";"Accepted"
"264";"Begoniaceae";"Begonia rufosericea";"Begonia rufosericea";0;"rara";"Accepted"
"265";"Begoniaceae";"Begonia scharffii";"Begonia scharffii";0;"rara";"Accepted"
"266";"Begoniaceae";"Begonia squamipes";"Begonia squamipes";0;"rara";"Accepted"
"267";"Begoniaceae";"Begonia toledoana";"Begonia toledoana";0;"rara";"Accepted"
"268";"Begoniaceae";"Begonia venosa";"Begonia venosa";0;"rara";"Accepted"
"269";"Lauraceae";"Beilschmiedia stricta";"Beilschmiedia stricta";0;"rara";"Accepted"
"270";"Berberidaceae";"Berberis campos-portoi";"Berberis kleinii";0;"rara";"Synonym"
"271";"Gesneriaceae";"Besleria meridionalis";"Besleria meridionalis";0;"rara";"Accepted"
"272";"Asteraceae";"Bidens edentula";"Bidens edentula";0;"rara";"Accepted"
