"";"Família";"Especie";"Nome na publicação original";"Diferença (em caracteres)";"Categoria";"Status Taxonômico"
"1113";"Verbenaceae";"Lippia pedunculosa";"Lippia pedunculosa";0;"rara";"Accepted"
"1114";"Verbenaceae";"Lippia rhodocnemis";"Lippia rhodocnemis";0;"rara";"Accepted"
"1115";"Verbenaceae";"Lippia rubella";"Lippia rubella";0;"rara";"Accepted"
"1116";"Campanulaceae";"Lobelia brasiliensis";"Lobelia brasiliensis";0;"rara";"Accepted"
"1117";"Fabaceae";"Dahlstedtia bahiana";"Lonchocarpus bahianus";0;"rara";"Synonym"
"1118";"Fabaceae";"Dahlstedtia glaziovii";"Lonchocarpus glaziovii";0;"rara";"Synonym"
"1119";"Fabaceae";"Dahlstedtia grandiflora";"Lonchocarpus grandiflorus";0;"rara";"Synonym"
"1120";"Fabaceae";"Dahlstedtia peckoltii";"Lonchocarpus peckoltii";0;"rara";"Synonym"
"1121";"Fabaceae";"Dahlstedtia araripensis";"Lonchocarpus praecox";0;"rara";"Synonym"
"1122";"Balanophoraceae";"Lophophytum rizzoi";"Lophophytum rizzoi";0;"rara";"Accepted"
"1123";"Fabaceae";"Luetzelburgia harleyi";"Luetzelburgia harleyi";0;"rara";"Accepted"
"1124";"Fabaceae";"Luetzelburgia neurocarpa";"Luetzelburgia neurocarpa";0;"rara";"Accepted"
"1125";"Bignoniaceae";"Lundia damazioi";"Lundia damazii";0;"rara";"Synonym"
"1126";"Ochnaceae";"Luxemburgia ciliatibracteata";"Luxemburgia ciliatibracteata";0;"rara";"Accepted"
"1127";"Ochnaceae";"Luxemburgia corymbosa";"Luxemburgia corymbosa";0;"rara";"Accepted"
"1128";"Ochnaceae";"Luxemburgia damazioana";"Luxemburgia damazioana";0;"rara";"Accepted"
"1129";"Ochnaceae";"Luxemburgia diciliata";"Luxemburgia diciliata";0;"rara";"Accepted"
"1130";"Ochnaceae";"Luxemburgia flexuosa";"Luxemburgia flexuosa";0;"rara";"Accepted"
"1131";"Ochnaceae";"Luxemburgia hatschbachiana";"Luxemburgia hatschbachiana";0;"rara";"Accepted"
"1132";"Ochnaceae";"Luxemburgia mysteriosa";"Luxemburgia mysteriosa";0;"rara";"Accepted"
"1133";"Ochnaceae";"Luxemburgia speciosa";"Luxemburgia speciosa";0;"rara";"Accepted"
"1134";"Asteraceae";"Lychnophora albertinioides";"Lychnophora albertinioides";0;"rara";"Accepted"
"1135";"Asteraceae";"Lychnophora crispa";"Lychnophora crispa";0;"rara";"Accepted"
"1136";"Asteraceae";"Lychnocephalus mellobarretoi";"Lychnophora mello-barretoi";1;"rara";"Synonym"
"1137";"Asteraceae";"Lychnophora phylicifolia";"Lychnophora phylicifolia";0;"rara";"Accepted"
"1138";"Asteraceae";"Lychnophorella santosii";"Lychnophora santosii";0;"rara";"Synonym"
"1139";"Asteraceae";"Lychnophorella sericea";"Lychnophora sericea";0;"rara";"Synonym"
"1140";"Asteraceae";"Lychnophora souzae";"Lychnophora souzae";0;"rara";"Accepted"
"1141";"Asteraceae";"Lychnophora damazioi";"Lychnophoriopsis damazoi";1;"rara";"Synonym"
"1142";"Asteraceae";"Lychnophora hatschbachii";"Lychnophoriopsis hatschbachii";0;"rara";"Synonym"
"1143";"Apocynaceae";"Macroditassa marianae";"Macroditassa marianae";0;"rara";"Accepted"
"1144";"Monimiaceae";"Macropeplus friburgensis";"Macropeplus friburgensis";0;"rara";"Accepted"
"1145";"Monimiaceae";"Macropeplus schwackeanus";"Macropeplus schwackeanus";0;"rara";"Accepted"
"1146";"Orobanchaceae";"Magdalenaea limae";"Magdalenaea limae";0;"rara";"Accepted"
"1147";"Annonaceae";"Malmea obovata";"Malmea obovata";0;"rara";"Accepted"
"1148";"Apocynaceae";"Malouetia pumila";"Malouetia pumila";0;"rara";"Accepted"
"1149";"Apocynaceae";"Mandevilla harleyi";"Mandevilla harleyi";0;"rara";"Accepted"
"1150";"Apocynaceae";"Mandevilla rubra";"Mandevilla rubra";0;"rara";"Accepted"
"1151";"Apocynaceae";"Mandevilla semirii";"Mandevilla semirii";0;"rara";"Accepted"
"1152";"Rubiaceae";"Manettia parvula";"Manettia parvula";0;"rara";"Accepted"
"1153";"Rubiaceae";"Manettia pauciflora";"Manettia pauciflora";0;"rara";"Accepted"
"1154";"Sapotaceae";"Manilkara dardanoi";"Manilkara dardanoi";0;"rara";"Accepted"
"1155";"Sapotaceae";"Manilkara decrescens";"Manilkara decrescens";0;"rara";"Accepted"
"1156";"Sapotaceae";"Manilkara longifolia";"Manilkara longifolia";0;"rara";"Accepted"
"1157";"Sapotaceae";"Manilkara maxima";"Manilkara maxima";0;"rara";"Accepted"
"1158";"Sapotaceae";"Manilkara multifida";"Manilkara multifida";0;"rara";"Accepted"
"1159";"Bignoniaceae";"Mansoa onohualcoides";"Mansoa onohualcoides";0;"rara";"Accepted"
"1160";"Melastomataceae";"Marcetia alba";"Marcetia alba";0;"rara";"Accepted"
"1161";"Melastomataceae";"Marcetia bahiana";"Marcetia bahiana";0;"rara";"Accepted"
"1162";"Melastomataceae";"Marcetia eimeariana";"Marcetia eimeariana";0;"rara";"Accepted"
"1163";"Melastomataceae";"Marcetia formosa";"Marcetia formosa";0;"rara";"Accepted"
"1164";"Melastomataceae";"Marcetia grandiflora";"Marcetia grandiflora";0;"rara";"Accepted"
"1165";"Melastomataceae";"Marcetia hatschbachii";"Marcetia hatschbachii";0;"rara";"Accepted"
"1166";"Melastomataceae";"Marcetia luetzelburgii";"Marcetia luetzelburgii";0;"rara";"Accepted"
"1167";"Melastomataceae";"Marcetia lychnophoroides";"Marcetia lychnophoroides";0;"rara";"Accepted"
"1168";"Melastomataceae";"Marcetia macrophylla";"Marcetia macrophylla";0;"rara";"Accepted"
"1169";"Melastomataceae";"Marcetia nummularia";"Marcetia nummularia";0;"rara";"Accepted"
"1170";"Melastomataceae";"Marcetia oxycoccoides";"Marcetia oxycoccoides";0;"rara";"Accepted"
"1171";"Melastomataceae";"Marcetia sincorensis";"Marcetia sincorensis";0;"rara";"Accepted"
"1172";"Melastomataceae";"Marcetia viscida";"Marcetia viscida";0;"rara";"Accepted"
"1173";"Myrtaceae";"Myrcia ensiformis";"Marlierea ensiformis";0;"rara";"Synonym"
"1174";"Myrtaceae";"Myrcia sucrei";"Marlierea sucrei";0;"rara";"Synonym"
"1175";"Apocynaceae";"Ruehssia bergii";"Marsdenia bergii";0;"rara";"Synonym"
"1176";"Apocynaceae";"Ruehssia carvalhoi";"Marsdenia carvalhoi";0;"rara";"Synonym"
"1177";"Apocynaceae";"Ruehssia fontellana";"Marsdenia fontellana";0;"rara";"Synonym"
"1178";"Apocynaceae";"Ruehssia hatschbachii";"Marsdenia hatschbachii";0;"rara";"Synonym"
"1179";"Apocynaceae";"Ruehssia neomanarae";"Marsdenia neomanarae";0;"rara";"Synonym"
"1180";"Apocynaceae";"Ruehssia otoniensis";"Marsdenia otoniensis";0;"rara";"Synonym"
"1181";"Apocynaceae";"Ruehssia pickelii";"Marsdenia pickelii";0;"rara";"Synonym"
"1182";"Apocynaceae";"Ruehssia sessilifolia";"Marsdenia sessilifolia";0;"rara";"Synonym"
"1183";"Apocynaceae";"Ruehssia thomasii";"Marsdenia thomasii";0;"rara";"Synonym"
"1184";"Apocynaceae";"Ruehssia ulei";"Marsdenia ulei";0;"rara";"Synonym"
"1185";"Apocynaceae";"Ruehssia virgultorum";"Marsdenia virgultorum";0;"rara";"Synonym"
"1186";"Malpighiaceae";"Mascagnia aptera";"Mascagnia aptera";0;"rara";"Accepted"
"1187";"Malpighiaceae";"Mascagnia velutina";"Mascagnia velutina";0;"rara";"Accepted"
"1188";"Apocynaceae";"Matelea bahiensis";"Matelea bahiensis";0;"rara";"Accepted"
"1189";"Apocynaceae";"Matelea dusenii";"Matelea dusenii";0;"rara";"Accepted"
"1190";"Apocynaceae";"Matelea marcoassisii";"Matelea marcoassisii";0;"rara";"Accepted"
"1191";"Apocynaceae";"Matelea matogrossensis";"Matelea matogrossensis";0;"rara";"Accepted"
"1192";"Apocynaceae";"Ibatia morilloana";"Matelea morilloana";0;"rara";"Synonym"
"1193";"Apocynaceae";"Matelea refracta";"Matelea refracta";0;"rara";"Accepted"
"1194";"Apocynaceae";"Matelea reitzii";"Matelea reitzii";0;"rara";"Accepted"
"1195";"Celastraceae";"Monteverdia basidentata";"Maytenus basidentata";0;"rara";"Synonym"
"1196";"Celastraceae";"Monteverdia gonoclada";"Maytenus glazioviana";0;"rara";"Synonym"
"1197";"Celastraceae";"Monteverdia horrida";"Maytenus horrida";0;"rara";"Synonym"
"1198";"Celastraceae";"Monteverdia opaca";"Maytenus opaca";0;"rara";"Synonym"
"1199";"Celastraceae";"Monteverdia radlkoferiana";"Maytenus radlkoferiana";0;"rara";"Synonym"
"1200";"Celastraceae";"Monteverdia rupestris";"Maytenus rupestris";0;"rara";"Synonym"
"1201";"Celastraceae";"Monteverdia truncata";"Maytenus truncata";0;"rara";"Synonym"
"1202";"Plantaginaceae";"Mecardonia pubescens";"Mecardonia pubescens";0;"rara";"Accepted"
"1203";"Solanaceae";"Melananthus fasciculatus";"Melananthus fasciculatus";0;"rara";"Accepted"
"1204";"Poaceae";"Melica riograndensis";"Melica riograndensis";0;"rara";"Accepted"
"1205";"Sabiaceae";"Meliosma itatiaiae";"Meliosma itatiaiae";0;"rara";"Accepted"
"1206";"Cactaceae";"Melocactus azureus";"Melocactus azureus";0;"rara";"Accepted"
"1207";"Cactaceae";"Melocactus braunii";"Melocactus braunii";0;"rara";"Accepted"
"1208";"Cactaceae";"Melocactus conoideus";"Melocactus conoideus";0;"rara";"Accepted"
"1209";"Cactaceae";"Melocactus deinacanthus";"Melocactus deinacanthus";0;"rara";"Accepted"
"1210";"Cactaceae";"Melocactus estevesii";"Melocactus estevesii";0;"rara";"Accepted"
"1211";"Cactaceae";"Melocactus ferreophilus";"Melocactus ferreophilus";0;"rara";"Accepted"
"1212";"Cactaceae";"Melocactus glaucescens";"Melocactus glaucescens";0;"rara";"Accepted"
"1213";"Cactaceae";"Melocactus lanssensianus";"Melocactus lanssensianus";0;"rara";"Accepted"
"1214";"Acanthaceae";"Mendoncia bahiensis";"Mendoncia bahiensis";0;"rara";"Accepted"
"1215";"Acanthaceae";"Mendoncia blanchetiana";"Mendoncia blanchetiana";0;"rara";"Accepted"
"1216";"Acanthaceae";"Mendoncia multiflora";"Mendoncia multiflora";0;"rara";"Accepted"
"1217";"Acanthaceae";"Mendoncia rizziniana";"Mendoncia rizziniana";0;"rara";"Accepted"
"1218";"Melastomataceae";"Meriania aracaensis";"Meriania aracaensis";0;"rara";"Accepted"
"1219";"Poaceae";"Merostachys abadiana";"Merostachys abadiana";0;"rara";"Accepted"
"1220";"Poaceae";"Merostachys argentea";"Merostachys argentea";0;"rara";"Accepted"
"1221";"Poaceae";"Merostachys caucaiana";"Merostachys caucaiana";0;"rara";"Accepted"
"1222";"Poaceae";"Merostachys ciliata";"Merostachys ciliata";0;"rara";"Accepted"
"1223";"Poaceae";"Merostachys fimbriata";"Merostachys fimbriata";0;"rara";"Accepted"
"1224";"Poaceae";"Merostachys magnispicula";"Merostachys magnispicula";0;"rara";"Accepted"
"1225";"Poaceae";"Merostachys pilifera";"Merostachys pilifera";0;"rara";"Accepted"
"1226";"Poaceae";"Merostachys ramosissima";"Merostachys ramosissima";0;"rara";"Accepted"
"1227";"Poaceae";"Merostachys rondoniensis";"Merostachys rondoniensis";0;"rara";"Accepted"
"1228";"Poaceae";"Merostachys scandens";"Merostachys scandens";0;"rara";"Accepted"
"1229";"Poaceae";"Merostachys vestita";"Merostachys vestita";0;"rara";"Accepted"
"1230";"Convolvulaceae";"Distimake repens";"Merremia repens";0;"rara";"Synonym"
"1231";"Poaceae";"Mesosetum agropyroides";"Mesosetum agropyroides";0;"rara";"Accepted"
"1232";"Poaceae";"Mesosetum alatum";"Mesosetum alatum";0;"rara";"Accepted"
"1233";"Poaceae";"Mesosetum longiaristatum";"Mesosetum longiaristatum";0;"rara";"Accepted"
"1234";"Apocynaceae";"Metastelma giuliettianum";"Metastelma giuliettianum";0;"rara";"Accepted"
"1235";"Lauraceae";"Mezilaurus caatingae";"Mezilaurus caatingae";0;"rara";"Accepted"
"1236";"Lauraceae";"Mezilaurus decurrens";"Mezilaurus decurrens";0;"rara";"Accepted"
"1237";"Lauraceae";"Mezilaurus duckei";"Mezilaurus duckei";0;"rara";"Accepted"
"1238";"Lauraceae";"Mezilaurus micrantha";"Mezilaurus micrantha";0;"rara";"Accepted"
"1239";"Lauraceae";"Mezilaurus navalium";"Mezilaurus navalium";0;"rara";"Accepted"
"1240";"Melastomataceae";"Miconia angelana";"Miconia angelana";0;"rara";"Accepted"
"1241";"Melastomataceae";"Miconia capixaba";"Miconia capixaba";0;"rara";"Accepted"
"1242";"Melastomataceae";"Miconia elaeodendron";"Miconia elaeodendron";0;"rara";"Accepted"
"1243";"Cactaceae";"Micranthocereus auriazureus";"Micranthocereus auriazureus";0;"rara";"Accepted"
"1244";"Cactaceae";"Micranthocereus hofackerianus";"Micranthocereus hofackerianus";0;"rara";"Accepted"
"1245";"Cactaceae";"Micranthocereus polyanthus";"Micranthocereus polyanthus";0;"rara";"Accepted"
"1246";"Cactaceae";"Micranthocereus streckeri";"Micranthocereus streckeri";0;"rara";"Accepted"
"1247";"Cactaceae";"Arrojadoa violaciflora";"Micranthocereus violaciflorus";0;"rara";"Synonym"
"1248";"Melastomataceae";"Microlicia agrestis";"Microlicia agrestis";0;"rara";"Accepted"
"1249";"Melastomataceae";"Microlicia amblysepala";"Microlicia amblysepala";0;"rara";"Accepted"
"1250";"Melastomataceae";"Microlicia aurea";"Microlicia aurea";0;"rara";"Accepted"
"1251";"Melastomataceae";"Microlicia baccharoides";"Microlicia bacharoides";1;"rara";"Accepted"
"1252";"Melastomataceae";"Microlicia balsamifera";"Microlicia balsamifera";0;"rara";"Accepted"
"1253";"Melastomataceae";"Microlicia blanchetiana";"Microlicia blanchetiana";0;"rara";"Accepted"
"1254";"Melastomataceae";"Microlicia luetzelburgii";"Microlicia carrasci";0;"rara";"Synonym"
"1255";"Melastomataceae";"Microlicia catolensis";"Microlicia catolensis";0;"rara";"Accepted"
"1256";"Melastomataceae";"Microlicia chrysantha";"Microlicia chrysantha";0;"rara";"Accepted"
"1257";"Melastomataceae";"Microlicia elegans";"Microlicia cipoana";0;"rara";"Synonym"
"1258";"Melastomataceae";"Microlicia comparilis";"Microlicia comparilis";0;"rara";"Accepted"
"1259";"Melastomataceae";"Microlicia crebropunctata";"Microlicia crebropunctata";0;"rara";"Accepted"
"1260";"Melastomataceae";"Microlicia cuspidifolia";"Microlicia cuspidifolia";0;"rara";"Accepted"
"1261";"Melastomataceae";"Microlicia decipiens";"Microlicia decipiens";0;"rara";"Accepted"
"1262";"Melastomataceae";"Microlicia ericoides";"Microlicia ericoides";0;"rara";"Accepted"
"1263";"Melastomataceae";"Microlicia flava";"Microlicia flava";0;"rara";"Accepted"
"1264";"Melastomataceae";"Microlicia giuliettiana";"Microlicia giuliettiana";0;"rara";"Accepted"
"1265";"Melastomataceae";"Microlicia glazioviana";"Microlicia glazioviana";0;"rara";"Accepted"
"1266";"Melastomataceae";"Microlicia harleyi";"Microlicia harleyi";0;"rara";"Accepted"
"1267";"Melastomataceae";"Microlicia hatschbachii";"Microlicia hatschbachii";0;"rara";"Accepted"
"1268";"Melastomataceae";"Microlicia isostemon";"Microlicia isostemon";0;"rara";"Accepted"
"1269";"Melastomataceae";"Microlicia leucopetala";"Microlicia leucopetala";0;"rara";"Accepted"
"1270";"Melastomataceae";"Microlicia macedoi";"Microlicia macedoi";0;"rara";"Accepted"
"1271";"Melastomataceae";"Microlicia microphylla";"Microlicia microphylla";0;"rara";"Accepted"
"1272";"Melastomataceae";"Microlicia minima";"Microlicia minima";0;"rara";"Accepted"
"1273";"Melastomataceae";"Microlicia monticola";"Microlicia monticola";0;"rara";"Accepted"
"1274";"Melastomataceae";"Microlicia morii";"Microlicia morii";0;"rara";"Accepted"
"1275";"Melastomataceae";"Microlicia mucugensis";"Microlicia mucugensis";0;"rara";"Accepted"
"1276";"Melastomataceae";"Microlicia noblickii";"Microlicia noblickii";0;"rara";"Accepted"
"1277";"Melastomataceae";"Microlicia obtusifolia";"Microlicia obtusifolia";0;"rara";"Accepted"
"1278";"Melastomataceae";"Microlicia oligochaeta";"Microlicia oligochaeta";0;"rara";"Accepted"
"1279";"Melastomataceae";"Microlicia ordinata";"Microlicia ordinata";0;"rara";"Accepted"
"1280";"Melastomataceae";"Microlicia petasensis";"Microlicia petasensis";0;"rara";"Accepted"
"1281";"Melastomataceae";"Microlicia pinheiroi";"Microlicia pinheiroi";0;"rara";"Accepted"
"1282";"Melastomataceae";"Microlicia plumosa";"Microlicia plumosa";0;"rara";"Accepted"
"1283";"Melastomataceae";"Microlicia psammophila";"Microlicia psammophila";0;"rara";"Accepted"
"1284";"Melastomataceae";"Microlicia pusilla";"Microlicia pusilla";0;"rara";"Accepted"
"1285";"Melastomataceae";"Microlicia scoparia";"Microlicia scoparia";0;"rara";"Accepted"
"1286";"Melastomataceae";"Microlicia sincorensis";"Microlicia sincorensis";0;"rara";"Accepted"
"1287";"Melastomataceae";"Microlicia subaequalis";"Microlicia subaequalis";0;"rara";"Accepted"
"1288";"Melastomataceae";"Microlicia subalata";"Microlicia subalata";0;"rara";"Accepted"
"1289";"Melastomataceae";"Microlicia suborbicularifolia";"Microlicia suborbicularifolia";0;"rara";"Accepted"
"1290";"Melastomataceae";"Microlicia taxifolia";"Microlicia taxifolia";0;"rara";"Accepted"
"1291";"Melastomataceae";"Microlicia tenuifolia";"Microlicia tenuifolia";0;"rara";"Accepted"
"1292";"Melastomataceae";"Microlicia trichocalycina";"Microlicia trichocalycina";0;"rara";"Accepted"
"1293";"Melastomataceae";"Microlicia vernicosa";"Microlicia vernicosa";0;"rara";"Accepted"
"1294";"Sapotaceae";"Micropholis caudata";"Micropholis caudata";0;"rara";"Accepted"
"1295";"Sapotaceae";"Micropholis grandiflora";"Micropholis grandiflora";0;"rara";"Accepted"
"1296";"Sapotaceae";"Micropholis resinifera";"Micropholis resinifera";0;"rara";"Accepted"
"1297";"Sapotaceae";"Micropholis retusa";"Micropholis retusa";0;"rara";"Accepted"
"1298";"Fabaceae";"Deguelia occidentalis";"Milletia occidentalis";1;"rara";"Synonym"
"1299";"Asteraceae";"Achillea millefolium";"Milletia occidentalis";5;"rara";"Synonym"
"1300";"Orchidaceae";"Miltonia kayasimae";"Miltonia kayasimae";0;"rara";"Accepted"
"1301";"Fabaceae";"Mimosa brevipinna";"Mimosa brevipinna";0;"rara";"Accepted"
"1302";"Fabaceae";"Mimosa crumenarioides";"Mimosa crumenarioides";0;"rara";"Accepted"
"1303";"Fabaceae";"Mimosa cryptothamnos";"Mimosa cryptothamnos";0;"rara";"Accepted"
"1304";"Fabaceae";"Mimosa cyclophylla";"Mimosa cyclophylla";0;"rara";"Accepted"
"1305";"Fabaceae";"Mimosa decorticans";"Mimosa decorticans";0;"rara";"Accepted"
"1306";"Fabaceae";"Mimosa glaucula";"Mimosa glaucula";0;"rara";"Accepted"
"1307";"Fabaceae";"Mimosa heringeri";"Mimosa heringeri";0;"rara";"Accepted"
"1308";"Fabaceae";"Mimosa hirsuticaulis";"Mimosa hirsuticaulis";0;"rara";"Accepted"
"1309";"Fabaceae";"Mimosa hortensis";"Mimosa hortensis";0;"rara";"Accepted"
"1310";"Fabaceae";"Mimosa humivagans";"Mimosa humivagans";0;"rara";"Accepted"
"1311";"Fabaceae";"Mimosa laniceps";"Mimosa laniceps";0;"rara";"Accepted"
"1312";"Fabaceae";"Mimosa lepidophora";"Mimosa lepidophora";0;"rara";"Accepted"
"1313";"Fabaceae";"Mimosa manidea";"Mimosa manidea";0;"rara";"Accepted"
"1314";"Fabaceae";"Mimosa nothopteris";"Mimosa nothopteris";0;"rara";"Accepted"
"1315";"Fabaceae";"Mimosa oligosperma";"Mimosa oligosperma";0;"rara";"Accepted"
"1316";"Fabaceae";"Mimosa pycnocoma";"Mimosa pycnocoma";0;"rara";"Accepted"
"1317";"Fabaceae";"Mimosa pyrenea";"Mimosa pyrenea";0;"rara";"Accepted"
"1318";"Fabaceae";"Mimosa regina";"Mimosa regina";0;"rara";"Accepted"
"1319";"Fabaceae";"Mimosa setosissima";"Mimosa setosissima";0;"rara";"Accepted"
"1320";"Fabaceae";"Mimosa setuligera";"Mimosa setuligera";0;"rara";"Accepted"
"1321";"Fabaceae";"Mimosa splendida";"Mimosa splendida";0;"rara";"Accepted"
"1322";"Fabaceae";"Mimosa suburbana";"Mimosa suburbana";0;"rara";"Accepted"
"1323";"Fabaceae";"Mimosa ulbrichiana";"Mimosa ulbrichiana";0;"rara";"Accepted"
"1324";"Fabaceae";"Mimosa ulei";"Mimosa ulei";0;"rara";"Accepted"
"1325";"Fabaceae";"Mimosa virgula";"Mimosa virgula";0;"rara";"Accepted"
"1326";"Apocynaceae";"Minaria cordata";"Minaria abortiva";0;"rara";"Synonym"
"1327";"Apocynaceae";"Minaria bifurcata";"Minaria bifurcata";0;"rara";"Accepted"
"1328";"Apocynaceae";"Minaria campanuliflora";"Minaria campanuliflora";0;"rara";"Accepted"
"1329";"Apocynaceae";"Minaria diamantinensis";"Minaria diamantinensis";0;"rara";"Accepted"
"1330";"Apocynaceae";"Minaria grazielae";"Minaria grazielae";0;"rara";"Accepted"
"1331";"Apocynaceae";"Minaria hemipogonoides";"Minaria hemipogonoides";0;"rara";"Accepted"
"1332";"Apocynaceae";"Minaria polygaloides";"Minaria inconspicua";0;"rara";"Synonym"
"1333";"Apocynaceae";"Minaria magisteriana";"Minaria magisteriana";0;"rara";"Accepted"
"1334";"Apocynaceae";"Minaria monocoronata";"Minaria monocoronata";0;"rara";"Accepted"
"1335";"Apocynaceae";"Minaria refractifolia";"Minaria refractifolia";0;"rara";"Accepted"
"1336";"Apocynaceae";"Minaria semirii";"Minaria semirii";0;"rara";"Accepted"
"1337";"Asteraceae";"Minasia alpestris";"Minasia alpestris";0;"rara";"Accepted"
"1338";"Asteraceae";"Minasia cabralensis";"Minasia cabralensis";0;"rara";"Accepted"
"1339";"Asteraceae";"Minasia lewinsohnii";"Minasia lewinsohnii";0;"rara";"Accepted"
"1340";"Asteraceae";"Minasia pereirae";"Minasia pereirae";0;"rara";"Accepted"
"1341";"Rubiaceae";"Mitracarpus pusillus";"Mitracarpus pusillus";0;"rara";"Accepted"
"1342";"Fabaceae";"Moldenhawera acuminata";"Moldenhawera acuminata";0;"rara";"Accepted"
"1343";"Fabaceae";"Moldenhawera brasiliensis";"Moldenhawera brasiliensis";0;"rara";"Accepted"
"1344";"Fabaceae";"Moldenhawera nutans";"Moldenhawera nutans";0;"rara";"Accepted"
"1345";"Fabaceae";"Moldenhawera papillanthera";"Moldenhawera papillanthera";0;"rara";"Accepted"
"1346";"Fabaceae";"Moldenhawera polysperma";"Moldenhawera polysperma";0;"rara";"Accepted"
"1347";"Monimiaceae";"Mollinedia triflora";"Mollinedia corcovadensis";0;"rara";"Synonym"
"1348";"Monimiaceae";"Mollinedia eugeniifolia";"Mollinedia eugeniifolia";0;"rara";"Accepted"
"1349";"Monimiaceae";"Mollinedia glaziovii";"Mollinedia glaziovii";0;"rara";"Accepted"
"1350";"Monimiaceae";"Mollinedia longicuspidata";"Mollinedia longicuspidata";0;"rara";"Accepted"
"1351";"Monimiaceae";"Mollinedia myriantha";"Mollinedia myriantha";0;"rara";"Accepted"
"1352";"Clusiaceae";"Moronobea pulchra";"Moronobea pulchra";0;"rara";"Accepted"
"1353";"Orchidaceae";"Myoxanthus seidelii";"Myoxanthus seidelii";0;"rara";"Accepted"
"1354";"Myrtaceae";"Myrceugenia brevipedicellata";"Myrceugenia brevipedicellata";0;"rara";"Accepted"
"1355";"Myrtaceae";"Myrceugenia foveolata";"Myrceugenia foveolata";0;"rara";"Accepted"
"1356";"Myrtaceae";"Myrceugenia hatschbachii";"Myrceugenia hatschbachii";0;"rara";"Accepted"
"1357";"Myrtaceae";"Myrceugenia hamoniana";"Myrceugenia smithii";0;"rara";"Synonym"
"1358";"Myrtaceae";"Myrcia almasensis";"Myrcia almasensis";0;"rara";"Accepted"
"1359";"Myrtaceae";"Myrcia plusiantha";"Myrcia follii";0;"rara";"Synonym"
"1360";"Myrtaceae";"Myrcia gilsoniana";"Myrcia gilsoniana";0;"rara";"Accepted"
"1361";"Fabaceae";"Myrocarpus leprosus";"Myrocarpus leprosus";0;"rara";"Accepted"
"1362";"Primulaceae";"Myrsine cipoensis";"Myrsine cipoensis";0;"rara";"Accepted"
"1363";"Lauraceae";"Nectandra impressa";"Nectandra impressa";0;"rara";"Accepted"
"1364";"Lauraceae";"Nectandra spicata";"Nectandra spicata";0;"rara";"Accepted"
"1365";"Lauraceae";"Nectandra venulosa";"Nectandra venulosa";0;"rara";"Accepted"
"1366";"Gesneriaceae";"Nematanthus bradei";"Nematanthus bradei";0;"rara";"Accepted"
"1367";"Gesneriaceae";"Nematanthus punctatus";"Nematanthus punctatus";0;"rara";"Accepted"
"1368";"Gesneriaceae";"Nematanthus teixeiranus";"Nematanthus teixeiranus";0;"rara";"Accepted"
"1369";"Bromeliaceae";"Neoregelia azevedoi";"Neoregelia azevedoi";0;"rara";"Accepted"
"1370";"Bromeliaceae";"Neoregelia brigadeirensis";"Neoregelia brigadeirensis";0;"rara";"Accepted"
"1371";"Bromeliaceae";"Neoregelia brownii";"Neoregelia brownii";0;"rara";"Accepted"
"1372";"Bromeliaceae";"Neoregelia diversifolia";"Neoregelia diversifolia";0;"rara";"Accepted"
"1373";"Bromeliaceae";"Neoregelia inexspectata";"Neoregelia inexspectata";0;"rara";"Accepted"
"1374";"Bromeliaceae";"Neoregelia kerryi";"Neoregelia kerrye";1;"rara";"Accepted"
"1375";"Bromeliaceae";"Neoregelia longipedicellata";"Neoregelia longipedicellata";0;"rara";"Accepted"
"1376";"Bromeliaceae";"Neoregelia mucugensis";"Neoregelia mucugensis";0;"rara";"Accepted"
"1377";"Bromeliaceae";"Neoregelia paulistana";"Neoregelia paulistana";0;"rara";"Accepted"
"1378";"Bromeliaceae";"Neoregelia pernambucana";"Neoregelia pernambucana";0;"rara";"Accepted"
"1379";"Apocynaceae";"Nephradenia filipes";"Nephradenia filipes";0;"rara";"Accepted"
"1380";"Bromeliaceae";"Nidularium albiflorum";"Nidularium albiflorum";0;"rara";"Accepted"
"1381";"Bromeliaceae";"Nidularium altimontanum";"Nidularium altimontanum";0;"rara";"Accepted"
"1382";"Bromeliaceae";"Nidularium amorimii";"Nidularium amorimii";0;"rara";"Accepted"
"1383";"Bromeliaceae";"Nidularium apiculatum";"Nidularium apiculatum";0;"rara";"Accepted"
"1384";"Bromeliaceae";"Nidularium atalaiaense";"Nidularium atalaiense";1;"rara";"Accepted"
"1385";"Bromeliaceae";"Nidularium azureum";"Nidularium azureum";0;"rara";"Accepted"
"1386";"Bromeliaceae";"Nidularium bocainense";"Nidularium bocainense";0;"rara";"Accepted"
"1387";"Bromeliaceae";"Nidularium catarinense";"Nidularium catarinense";0;"rara";"Accepted"
"1388";"Bromeliaceae";"Nidularium corallinum";"Nidularium corallinum";0;"rara";"Accepted"
"1389";"Bromeliaceae";"Nidularium itatiaiae";"Nidularium itatiaiae";0;"rara";"Accepted"
"1390";"Bromeliaceae";"Nidularium kautskyanum";"Nidularium kautskyanum";0;"rara";"Accepted"
"1391";"Bromeliaceae";"Nidularium mangaratibense";"Nidularium mangaratibense";0;"rara";"Accepted"
"1392";"Bromeliaceae";"Nidularium minutum";"Nidularium minutum";0;"rara";"Accepted"
